Year,Tucson Border encounters,Yuma Border encounters,,,,,,,,
2021,173476,91841,233361,,,,,,,
2020,66076,8804,74880,2.116466346,,,,,June ,july
2019,63490,68269,131759,-0.431689676,,,,,"12,410","14,833"
2018,52172,26244,78416,0.68025658,,,,,"18,405","17,983"
2017,38657,12847,51504,0.522522523,,,,,"30,815","32,816"
2016,64891,14170,79061,-0.348553648,,,,,,
2015,63397,7142,70539,0.1208126,,,,,,
2014,87915,5902,93817,-0.248121343,,,,,,
2013,120939,6106,127045,-0.261545122,,,,,,
2012,120000,6500,126500,0.0043083,,,,,,
2011,123285,5833,129118,-0.020276027,,,,,,
2010,212202,7116,219318,-0.411274952,,,,,,
2009,241673,6951,248624,-0.117872772,,,,,,
2008,317696,8363,326059,-0.237487694,,,,,,
2007,378239,37992,416231,-0.216639318,,,,,,
2006,392074,118549,510623,-0.184856538,,,,,,
2005,439079,138438,577517,-0.115830357,,,,,,
2004,491771,98060,589831,-0.020877167,,,,,,
2003,347263,56638,403901,0.460335577,,,,,,
2002,333648,42654,376302,0.073342688,,,,,,
2001,449675,78385,528060,-0.287387797,,,,,,
2000,616346,108747,725093,-0.271734798,,,,,,
1999,470449,93388,563837,0.285997549,,,,,,
1998,387406,76195,463601,0.216211786,,,,,,
1997,272397,30177,302574,0.532190472,,,,,,
1996,305348,28310,333658,-0.093161261,,,,,,
1995,227529,20894,248423,0.343104302,,,,,,
1994,139473,21211,160684,0.546034453,,,,,,
1993,92639,23548,116187,0.382977442,,,,,,
1992,71036,24892,95928,0.211189642,,,,,,
1991,59728,28646,88374,0.085477629,,,,,,
1990,53061,36387,89448,-0.012006976,,,,,,
,,,,#DIV/0!,,,,,,
,,,,#DIV/0!,,,,,,
,,,51504,-1,,,,,,
,,,725093,-0.928969112,,,,,,
,,,,#DIV/0!,,,,,,
,,,51500,-1,,,,,,
,,,725000,-0.928965517,,,,,,
,,,,#DIV/0!,,,,,,
,,,77,-1,,,,,,
,,,49,0.571428571,,,,,,
,,,,#DIV/0!,,,,,,
