,name
Sun City,1
Phoenix,1
Fortuna Foothills,1
Sun City West,1
Queen Creek,1
Tucson,1
Sahuarita,1
Hayden,1
Safford,1
Nogales,1
Pima,1
Oro Valley,1
San Luis,1
Huachuca City,1
Florence,1
Winkelman,1
Coolidge,1
Yuma,1
South Tucson,1
Marana,1
Globe,1
Peoria,1
Sierra Vista,1
Douglas,1
Maricopa,1
El Mirage,1
Eloy,1
Ajo,1
Scottsdale,1
Casa Grande,1
Corona de Tucson,1
Sun Lakes,1
Bisbee,1
Morenci,1
Surprise,1
Goodyear,1
Chandler,1
Willcox,1
Los Algodones,1
Sun City Grand,1
San Tan Valley,1
Harambe,1
Buckeye,1
Barlville,1
Avondale,1
Glendale,1
Alpine,1
Mesa,1
Somerton,1
Fountain Hills,1
Wellton,1
Tempe,1
Gilbert,1
Paradise Valley,1
Sells,1
Apache Junction,1
Blythe,1
