,year,length,CORNO,miles
0,1990,2642031.1897652983,0.0,1641.6820696856416
1,1990,34091.244753207124,1.0,21.183317389064058
2,1990,42229.88084757553,2.0,26.240431400275977
3,1990,33284.13206254826,3.0,20.681800814391032
4,1990,39421.587570105046,4.0,24.495438858968555
5,1990,58304.41194386428,5.0,36.228681948417986
6,1990,46337.47309657957,6.0,28.792770892289578
7,1990,84254.16107016541,7.0,52.35310849512868
8,1990,11542.392641138287,8.0,7.172110273956126
9,1990,22121.71047204987,9.0,13.745793605096509
10,1990,31063.297973858003,10.0,19.301838489467332
11,1990,89886.65062920398,11.0,55.85297524635603
12,1990,113758.25709575921,12.0,70.68610381143436
0,1991,2636996.1420330126,0.0,1638.5534360744543
1,1991,34091.244753207124,1.0,21.183317389064058
2,1991,42229.88084757553,2.0,26.240431400275977
3,1991,33284.13206254826,3.0,20.681800814391032
4,1991,39421.587570105046,4.0,24.495438858968555
5,1991,58304.41194386428,5.0,36.228681948417986
6,1991,46337.47309657957,6.0,28.792770892289578
7,1991,84254.16107016541,7.0,52.35310849512868
8,1991,11542.392641138287,8.0,7.172110273956126
9,1991,22121.71047204987,9.0,13.745793605096509
10,1991,31063.297973858003,10.0,19.301838489467332
11,1991,89886.65062920398,11.0,55.85297524635603
12,1991,113758.25709575921,12.0,70.68610381143436
0,1992,2625597.8426031405,0.0,1631.4708611709418
1,1992,34091.244753207124,1.0,21.183317389064058
2,1992,42229.88084757553,2.0,26.240431400275977
3,1992,33284.13206254826,3.0,20.681800814391032
4,1992,39421.587570105046,4.0,24.495438858968555
5,1992,58304.41194386428,5.0,36.228681948417986
6,1992,46337.47309657957,6.0,28.792770892289578
7,1992,84254.16107016541,7.0,52.35310849512868
8,1992,11542.392641138287,8.0,7.172110273956126
9,1992,22121.71047204987,9.0,13.745793605096509
10,1992,31063.297973858003,10.0,19.301838489467332
11,1992,89886.65062920398,11.0,55.85297524635603
12,1992,105087.36800448349,12.0,65.29826312108857
0,1993,2619830.070390557,0.0,1627.8869336760242
1,1993,34091.244753207124,1.0,21.183317389064058
2,1993,42229.88084757553,2.0,26.240431400275977
3,1993,33284.13206254826,3.0,20.681800814391032
4,1993,39421.587570105046,4.0,24.495438858968555
5,1993,58304.41194386428,5.0,36.228681948417986
6,1993,46337.47309657957,6.0,28.792770892289578
7,1993,84254.16107016541,7.0,52.35310849512868
8,1993,11542.392641138287,8.0,7.172110273956126
9,1993,22121.71047204987,9.0,13.745793605096509
10,1993,31063.297973858003,10.0,19.301838489467332
11,1993,89886.65062920398,11.0,55.85297524635603
12,1993,105087.36800448349,12.0,65.29826312108857
0,1994,2614523.1782814255,0.0,1624.5893838003578
1,1994,34091.244753207124,1.0,21.183317389064058
2,1994,42229.88084757553,2.0,26.240431400275977
3,1994,31572.593932088203,3.0,19.618300326113612
4,1994,39421.587570105046,4.0,24.495438858968555
5,1994,58304.41194386428,5.0,36.228681948417986
6,1994,46337.47309657957,6.0,28.792770892289578
7,1994,84254.16107016541,7.0,52.35310849512868
8,1994,11542.392641138287,8.0,7.172110273956126
9,1994,22121.71047204987,9.0,13.745793605096509
10,1994,31063.297973858003,10.0,19.301838489467332
11,1994,89886.65062920398,11.0,55.85297524635603
12,1994,105087.36800448349,12.0,65.29826312108857
